Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,contact,,text,Record ID,,,,,,,,,,,,,
created_at,contact,Description de la demande,text,Créée le,,,,,,y,,y,,,,,
userid,contact,,text,Identifiant du demandeur,,,,,,y,,y,,,,,
email,contact,,text,Courriel du demandeur,,,email,,,y,,y,,,,,
dossier_link,contact,,descriptive,Dossier complet : [survey-link:dossier_reviewer],,,,,,,,,,,,,
demandeur_nom,form,,text,Nom,,,,,,,,y,,,,,
demandeur_prenom,form,,text,Prénom,,,,,,,,y,,,,,
demandeur_statut,form,,dropdown,Vous êtes ?,"1, Enseignant chercheur | 2, Enseignant | 3, IGR/IGE | 4, Post-Doctorant | 5, Doctorant",,,,,,,y,,,,,
demandeur_composante,form,,dropdown,Composante ,"1, AI | 2, LSH | 3, ST | 4, ISEL | 5, IUT",,,,,,[demandeur_statut]=2,y,,,,,
demandeur_laboratoire,form,,dropdown,Laboratoire,"1, GammaLab, UR 3220|2, BetaLab, UR 4108|3, AlphaLab, UR 3821|4, DeltaLab, UMR 6294|5, SEBIO, UMR-I 02|6, EpsilonLab, UR 3221|7, EtaLab-Atlas Test City, UMR EtaLab 6266 CNRS|8, IotaLab, UR 7263|9, LexFEIM, UR 1013|10, GRIC, UR 4314|11, ThetaLab, UR 969|12, CERMUD",,,,,,[demandeur_statut]=1 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,,,,,
laboratoire_directeur_courriel,form,,text,"<div class=""rich-text-field-label""><p>Saisissez l'email du directeur du laboratoire<br><em><span style=""font-weight: normal;"">Attention : un e-mail sera automatiquement envoyé au directeur pour visa et avis. Vérifiez l'adresse avant de valider.</span></em></p></div>",,,email,,,,[demandeur_statut]=1 OR [demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,,,,,
encadrant_courriel,form,,text,"<div class=""rich-text-field-label""><p>Saisissez l'email de l'encadrant<br><em><span style=""font-weight: normal;"">Attention : un e-mail sera automatiquement envoyé à l'encadrant pour visa et avis. Vérifiez l'adresse avant de valider.</span></em></p></div>",,,email,,,,[demandeur_statut]=3 OR [demandeur_statut]=4 OR [demandeur_statut]=5,y,,,,,
mobilite_type,form,,dropdown,Vous voulez ?,"1, Faire venir un chercheur à l'UAT | 2, Faire un séjour de recherche hors de l'UAT",,,,,,[demandeur_statut]=1,y,,,,,
invitation_type,form,"<div class=""rich-text-field-label""><p>Invitation <br><span style=""font-weight: normal;"">La demande d'invitation peut être formulée au titre de la recherche, de l'enseignement ou des deux. La durée ne devra pas excéder un mois.</span></p></div>",dropdown,"<div class=""rich-text-field-label""><p>Quel est le type d'invitation ?</p> <p><span style=""font-weight: normal;""><em>Dans le cadre d'une invitation pour enseignement, l'invité doit donner des cours dans une composante et le directeur de composante devra valider la demande. </em></span></p></div>","1, Recherche | 2, Enseignement | 3, Recherche + Enseignement",,,,,,[mobilite_type]=1,y,LH,,,,
invitation_periode,form,,text,"Période d'invitation
",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invitation_duree_jours,form,,text,"<div class=""rich-text-field-label""><p>Durée d'invitation<br><em><span style=""font-weight: normal;"">(en jours calendaires)</span></em></p></div>",,,number,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_nom,form,,text,Nom du Chercheur invité,,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_date_naissance,form,,text,Date de naissance (jj/mm/aaaa),,,date_dmy,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_nationalite,form,,text,Nationalité,,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_adresse_postale,form,,text,Adresse postale ,,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_courriel,form,,text,"<div class=""rich-text-field-label""><p>Adresse mail <br><span style=""font-weight: normal;"">Attention le visitant doit être joignable par courriel pour les réservations de transport et d'hôtel le cas échéant</span></p> <p><span style=""font-weight: normal;"">Priviligier une adresse mail insitutionelle, à défaut elle doit être mentionnée sur le CV.</span></p></div>",,,email,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
invite_telephone,form,,text,"<div class=""rich-text-field-label""><p>Téléphone<br><span style=""font-weight: normal;""><em>Attention le visitant doit être joignable par téléphone pour les réservations de transport et d'hôtel le cas échéant</em></span></p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
cv_invite,form,,file,"<div class=""rich-text-field-label""><p>CV de l'invité<br><em><span style=""font-weight: normal;"">Format PDF</span></em></p></div>",,,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,,,,,
invite_etablissement,form,,dropdown,"<div class=""rich-text-field-label""><p>Etablissement d'exercice de l'invité ?</p> <p><em><span style=""font-weight: normal;"">Pour consulter la liste des partenaires :</span></em><i></i></p> <ul> <li><i><a href=""https://eunicoast.eu/#section-partners"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><span style=""font-weight: normal;"">Universités EUNICoast</span></span></a></i></li> <li><span style=""font-weight: normal;""><a href=""https://www.univ-lehavre.fr/fr/international/les-reseaux-les-programmes-et-accords-internationaux/le-consortium-gu8/"" target=""_blank"" rel=""noopener""><span style=""text-decoration: underline;""><i>Universités GU8</i></span></a><i></i></span></li> </ul> <p><span style=""font-weight: normal;""><i>L'aire géographique Europe comprend les 27 Etats membres de l'UE et 6 pays tiers associés au programme (Islande, Liechtenstein, Serbie, Macédoine du Nord, Norvège, Turquie).</i></span></p></div>","1, Un laboratoire affilié à une université d'EUNICoast | 2, Un laboratoire affilié à une université du GU8 | 3, Un laboratoire affilié à une université européenne hors EUNICoast | 4, Un laboratoire affilié à une université internationale hors Europe et GU8",,,,,,[mobilite_type]=1 OR [demandeur_statut]=2,y,LH,,,,
invite_etablissement_eunicoast,form,,dropdown,Quelle université d'EUNICoast ?,"I290569820, Åland University of Applied Sciences (AUAS) | I31072267, Burgas Free University (BFU) | I4210135109, Euro Mediterranean University (EMUNI) | I52585520, Université des Antilles (UA) | I159650629, University of Sassari (UNISS) | I115891769, Universidade dos Açores (UAC) | I50441567, Universitat de les Illes Balears (UIB) | I180629606, University of Dubrovnik (UNIDU) | I174878644, University of Patras (UPATRAS) | I4210148663, University of Applied Sciences Stralsund (HOST) | I155313962, West Pomeranian University of Technology (ZUT) | I103146751, University of the Faroe Islands (UFI)",,,,,,[invite_etablissement]=1,y,,,,,
invite_etablissement_gu8,form,,dropdown,Quelle université GU8 ?,"9, Université de Inha à Incheon, Corée du sud | 10, Université de Xiamen, Chine | 11, Université de Hull, Royaume-Uni | 12, UNIFOR à Fortaleza, Brésil | 13, Université Otto Von Guericke à Magdebourg, Allemagne | 14, Université de Perlis, Malaisie",,,,,,[invite_etablissement]=2,y,,,,,
