Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
userid,contact,,text,"<div class=""rich-text-field-label""><p>My user ID</p> <p><span style=""font-weight: normal;"">This ID is given by the authentication service.</span></p></div>",,,,,,y,,,,,,,
email,contact,,text,My email,,,email,,,y,,y,,,,,
active,contact,,yesno,Am I active?,,,,,,,,y,,,,,
researcher_profile_intro,researcher_profile,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><em>Provide your personal and professional details, including your institution and ORCID identifier. At the end of this section, you will choose how this information is displayed: </em></span><em>publicly</em><span style=""font-weight: normal;""><em> (visible to everyone), </em></span><em>confidentially</em><span style=""font-weight: normal;""><em> (restricted to researchers from the Polytechnic Campus for Maritime and Port Territories and EUNICoast), or as </em></span><em>aggregated</em><span style=""font-weight: normal;""><em> data only (anonymous, with no possibility of contact).</em></span></p></div>",,,,,,,,,,,,,
last_name,researcher_profile,My personal data,text,My last name,,,,,,y,,y,,,,,
first_name,researcher_profile,,text,My first name,,,,,,y,,y,,,,,
has_middle_name,researcher_profile,,yesno,Do I have a middle name?,,,,,,,,y,,,,,
middle_name,researcher_profile,,text,My middle name,,,,,,y,[has_middle_name] = '1',y,,,,,
portrait,researcher_profile,,file,My profile picture,,,,,,y,[portrait_choice] = '2',y,,,,,
portrait_choice,researcher_profile,,radio,"On my profile, I would like to show:","1, An avatar (automatically generated) | 2, A picture of me | 3, Nothing more",,,,,,,y,,,,,
institution,researcher_profile,My professional data,dropdown,My main institution,"I141576021, Université Atlas Normandy (UAT) | I1294671590, Centre National de la Recherche Scientifique (CNRS) | I88814501, Institut National des Sciences Appliquées Rouen Normandie (INSA) | I4210088576, ""École Nationale Supérieure d'Architecture de Normandie"" (ENSA) | I4387154602, ""École supérieure d'art et design Atlas Test City-Rouen"" (ESADHAR) | I4210145950, École Nationale Supérieure Maritime (ENSM) | I4387153298, École de management de Normandie (EMN) | I4387154994, Région Normandie | I290569820, Åland University of Applied Sciences (AUAS) | I31072267, Burgas Free University (BFU) | I4210135109, Euro Mediterranean University (EMUNI) | I52585520, Université des Antilles (UA) | I159650629, University of Sassari (UNISS) | I115891769, Universidade dos Açores (UAC) | I50441567, Universitat de les Illes Balears (UIB) | I180629606, University of Dubrovnik (UNIDU) | I174878644, University of Patras (UPATRAS) | I4210148663, University of Applied Sciences Stralsund (HOST) | I155313962, West Pomeranian University of Technology (ZUT) | I103146751, University of the Faroe Islands (UFI) | 0, Other",,autocomplete,,,,,y,,,,,
institution_other,researcher_profile,,text,I specify my institution,,,,,,,[institution] = '0',y,,,,,
labo_UAT,researcher_profile,,dropdown,Laboratoire,"1, GammaLab, UR 3220 | 2, BetaLab, UR 4108 | 3, AlphaLab, UR 3821 | 4, DeltaLab, UMR 6294 | 5, SEBIO, UMR-I 02 | 6, EpsilonLab, UR 3221 | 7, EtaLab-Atlas Test City, UMR EtaLab 6266 CNRS | 8, IotaLab, UR 7263 | 9, LexFEIM, UR 1013 | 10, GRIC, UR 4314 | 11, ThetaLab, UR 969 | 12, CERMUD",,,,,,,,,,,,
orcid,researcher_profile,,text,"<div class=""rich-text-field-label""><p>My ORCID</p> <p><em><span style=""font-weight: normal;"">I can search my identifier in the <a href=""https://orcid.org/"" target=""_blank"" rel=""noopener"">ORCID website</a></span></em></p></div>",,,,,,y,,,,,,,
researcher_profile_identification_level,researcher_profile,My consent,radio,How would I like my data to appear?,"1, Identifiable (my name visible) | 2, Pseudonymised (an identifier replaces my name) | 3, Anonymised (no link to me possible) | 4, Aggregated only (global statistics)",,,,,,,y,,,,,
researcher_profile_data_audience,researcher_profile,,radio,Who can access my data?,"1, General public | 2, Authenticated researchers only",,,,,,[researcher_profile_identification_level] <> '4' AND [researcher_profile_identification_level] <> '',y,,,,,
research_questions_intro,research_questions,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><em>Summarise your research activity in up to three core questions. These will appear on your profile and help identify shared interests with other researchers. You will also choose the visibility level for this information.</em></span></p></div>",,,,,,,,,,,,,
research_questions,research_questions,My research questions,notes,"<div class=""rich-text-field-label""><p>My core research questions</p> <p><span style=""font-weight: normal;""><em>I try to summarize my research in a maximum of three main questions that will be displayed on my profile.</em></span></p></div>",,,,,,,,y,LV,,,,@WORDLIMIT=500
research_questions_identification_level,research_questions,My consent,radio,How would I like my data to appear?,"1, Identifiable (my name visible) | 2, Pseudonymised (an identifier replaces my name) | 3, Anonymised (no link to me possible) | 4, Aggregated only (global statistics)",,,,,,,y,,,,,
research_questions_data_audience,research_questions,,radio,Who can access my data?,"1, General public | 2, Authenticated researchers only",,,,,,[research_questions_identification_level] <> '4' AND [research_questions_identification_level] <> '',y,,,,,
publications_intro,publications,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><em>Upload a PDF file listing your publications, including their DOIs. This will help us map existing collaborations and areas of expertise within the network. You will choose how your publication data is displayed.</em></span></p></div>",,,,,,,,,,,,,
publications,publications,My publications,file,"<div class=""rich-text-field-label""><p>My publications list</p> <p><em><span style=""font-weight: normal;"">I upload a file listing my publications, including each its DOI (if possible).</span></em></p></div>",,,,,,,,y,,,,,
publications_identification_level,publications,My consent,radio,How would I like my data to appear?,"1, Identifiable (my name visible) | 2, Pseudonymised (an identifier replaces my name) | 3, Anonymised (no link to me possible) | 4, Aggregated only (global statistics)",,,,,,,y,,,,,
publications_data_audience,publications,,radio,Who can access my data?,"1, General public | 2, Authenticated researchers only",,,,,,[publications_identification_level] <> '4' AND [publications_identification_level] <> '',y,,,,,
project_proposal_intro,project_proposal,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><em>Describe an upcoming research project: its acronym, title, abstract, keywords, methods, and geographical scope. You will also indicate how it fits within the Polytechnic Campus axes and EUNICoast hubs. At the end, you will choose the visibility level for your project proposal.</em></span></p></div>",,,,,,,,,,,,,
acronym,project_proposal,Brief description of my upcoming project,text,My project acronym,,,,,,,,y,,,,,@WORDLIMIT=3
title,project_proposal,,notes,"<div class=""rich-text-field-label""><p>My project title</p> <p data-start=""211"" data-end=""327""><span style=""font-weight: normal;""><em data-start=""231"" data-end=""325"">A concise and informative title that reflects the core idea of my upcoming research.</em></span></p> <p data-start=""329"" data-end=""466""> </p></div>",,,,,,,,y,LH,,,,@WORDLIMIT=20
abstract,project_proposal,,notes,"<div class=""rich-text-field-label""><p>My project abstract</p> <p><em><span style=""font-weight: normal;"">A brief abstract describing the context, objectives, and potential impact of your project. This will help to understand the relevance of your research and identify collaboration opportunities.</span></em></p></div>",,,,,,,,y,LH,,,,@WORDLIMIT=300
ecr_integration,project_proposal,"Integration of ""[acronym]"" within",checkbox,The integration of my project in the Campus Polytechnique des Territoires Maritimes et Portuaires,"1, Maritime and port issues | 2, The city of tomorrow: architecture, urban planning, sustainable construction and design | 3, Transitions, risks and hazards",,,,,,,y,,,,,"@DESCRIPTION=""European Campus of Research Integration - Polytechnic Campus axes"""
